id,city,name,address,neigborhood,zip,county,type,latitude,longitude
1084,NYC,PRAMUKH 110 INC,110-40-46 QUEENS  BOULEVARD,FOREST HILLS,11375,QUEENS,CONVENIENCE STORE,40.72505939700005,-73.84549010599994
1712,Clinton,WEST CHAZY MINI MART,1  WEST CHURCH STREET,WEST CHAZY,12992,CHAZY,CONVENIENCE STORE,44.82055209400005,-73.50881789499994
1169,NYC,SUA MARKET INC,8702/04 5TH AVENUE,BROOKLYN,11209,BROOKLYN,GROCERY SUPERMARKET,40.620761841000046,-74.02688636499994
1942,Cattaraugus,7-ELEVEN,55 S. MAIN ST.,PORTVILLE,14770,PORTVILLE,CONVENIENCE/GAS,42.03584027800008,-78.33829428399997
1259,NYC,VILLA TRINA FOOD CORP,7072 EAST 183RD STREET,BRONX,10453,NEW YORK CITY,GROCERY SUPERMARKET,40.858074325000075,-73.90185998199996
1551,Saranac Lake DO,STEWART'S SHOP #160,PARK STREET,ELIZABETHTOWN,12932,ELIZABETHTOWN,CONVENIENCE/GAS,44.216887230000054,-73.59779440199998
1830,Broome,MIRABITO #78 - MANLEY'S MIGHTY MART,715 UPPER COURT STREET,BINGHAMTON,13904,KIRKWOOD,CONVENIENCE/GAS,42.10214770300007,-75.84503205699997
1662,Chenango,QUICKWAY 26/MOBIL,84 NORTH MAIN STREET,SHERBURNE,13460,SHERBURNE,CONVENIENCE/GAS,42.68396793900007,-75.50109498799998
1578,Watertown DO,VICTORIAN (THE),P.O. 360/905 JAMES STREET,,,CLAYTON,OTHER,42.57956696000008,-75.80910585699996
1856,Broome,DOLLAR GENERAL STORE #09335,222 MAIN STREET,JOHNSON CITY,13790,UNION,DISCOUNT STORE,42.11480285700003,-75.95435123899995
1439,Herkimer DO,DOLLAR GENERAL,52 DUTCHTOWN PLAZA,PALATINE BRIDGE,13428,PALATINE,DISCOUNT STORE,42.91306866900004,-74.57105797399998
1792,Cattaraugus,DOLLAR GENERAL STORE #8104,502 N. UNION ST.,OLEAN,14760,OLEAN,DISCOUNT STORE,42.08522044600005,-78.42989357899995
1101,NYC,A1 DISCOUNT GROCERY INC.,160 GRAVES ROAD,BROOKLYN,11223,BROOKLYN,DISCOUNT STORE,40.60114186700008,-73.97791583599997
1771,Albany,MR. SAM FOOD MARKET,61 QUAIL  STREET,ALBANY,12206,ALBANY,GROCERY SUPERMARKET,42.667282158000035,-73.77031121299996
1074,NYC,"AHAMED, SUJA UDDIN/MAGIC POINT",94-02A 63RD  DRIVE,REGO PARK,11374,QUEENS,CONVENIENCE STORE,40.72874115900004,-73.86316762899997
1282,NYC,MANNIX FAMILY MARKET @ VETERAN'S ROAD LLC,3010 VETERANS W ROAD,STATEN ISLAND,10309,NEW YORK CITY,GROCERY SUPERMARKET,40.52800141600005,-74.23512229699998
1644,Albany,FINNIGANS GROCERY STORE,116 QUAIL STREET,ALBANY,12206,ALBANY,CONVENIENCE STORE,42.66520634300008,-73.77362948699994
1764,Chemung,DOLLAR GENERAL #11195 - FRONT ST,3695 FRONT STREET,WELLSBURG,14894,ASHLAND,CONVENIENCE STORE,42.01622784300008,-76.72576322899994
1870,Chemung,ON THE WAY,102 SOUTH MAIN STREET,ELMIRA,14904,ELMIRA,CONVENIENCE/GAS,42.08441622700008,-76.80574215299998
1629,Broome,DOLLAR GENERAL STORE #09951,357 UPPER COURT STREET,BINGHAMTON,13904,BINGHAMTON,DISCOUNT STORE,42.10004459000004,-75.83888419999994
1951,Albany,EMILS NEWSROOM,99 WASHINGTON  AVENUE,ALBANY,12210,ALBANY,STAND,42.654615138000054,-73.75950554899998
1751,Chautauqua,7 - ELEVEN # 35260,96 EAST MAIN STREET,WESTFIELD,14787,WESTFIELD,CONVENIENCE/GAS,42.32391837400007,-79.57521039199997
1186,NYC,"BHANPERSAUD, JASMATTIE",EAST 23RD  STREET,NEW YORK,10010,MANHATTAN,GROCERY SUPERMARKET,40.73773807200007,-73.98049757999996
1157,NYC,PATEL BAKUL,S/E/C BROADWAY 56TH STREET,NEW YORK,11019,MANHATTAN,STAND,40.71455046700004,-74.00713891299995
1317,Oneida,NICE & EASY,195 ORISKANY BLVD,,,WHITESTOWN,CONVENIENCE/GAS,42.57956696000008,-75.80910585699996
1658,Albany,OLIVERS BEVERAGE CENTER,105 COLVIN  AVENUE,ALBANY,12206,ALBANY,LIQUOR/BEVERAGE STORE,42.68085479900003,-73.79258456199994
1248,NYC,METOVAL GOUMET DELI CORP,62B METROPOLITAN AVENUE,BRONX,10462,NEW YORK CITY,GROCERY SUPERMARKET,40.83745148600008,-73.86034156699998
1095,NYC,SHAH PETROLEUM INC,111660 SUTPHIN  BOULEVARD,JAMAICA,11434,QUEENS,OTHER,40.67946888200004,-73.79172596699993
1574,Watertown DO,O'DONNELL'S MARKET,30121 NYS RT. 3,,,LE RAY,GROCERY SUPERMARKET,42.57956696000008,-75.80910585699996
1353,Glens Falls DO,STEWART'S SHOP #335,RR2 ROUT 146,CLIFTON PARK,12065,CLIFTON PARK,CONVENIENCE STORE,42.854334057000074,-73.76645329799999
